% Model:              countersunk_magnets.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 10 2026, 14:21
% Dimension:          3
% Nodes:              98
% Expressions:        4
% Description:        Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component, Magnetic flux density norm
% Length unit:        mm
% x                       y                        z                        mfnc.Bx (T) @ ramp=1     mfnc.By (T) @ ramp=1     mfnc.Bz (T) @ ramp=1     mfnc.normB (T) @ ramp=1
15                        11.144816555701752       0                        0.0032012959893745726    -4.689198006594829E-4    0.9995688589782987       0.9999589009796617
15                        16.08519955494502        0                        -9.712090219608088E-4    0.001722195261583895     0.9785424814897994       0.9788453625630904
15                        17.222816096726092       0                        0.005749416394389366     -0.004587820577350579    0.9681780392662831       0.9687383913352441
15                        18.99034092282136        0                        0.020426907491107933     -0.0018795768921659947   0.9578450299606891       0.9594115212003407
15                        16.609634759712364       0                        -0.0010863339664410557   -0.003714501568045158    0.9713562240209674       0.971604586873317
15                        19.411502485777817       0                        0.011547133578713611     0.05515887776674979      0.9522752679290596       0.9602724365740375
15                        24.140576596181788       0                        -0.09759219353455528     -0.02633990913014461     0.7187853188405648       0.7978584927503942
15                        24.601887040287323       0                        -0.067238644648297       0.005547456231065636     0.615638271729438        0.6989561135481057
15                        20.125077307056344       0                        0.06220527473236208      0.0201909088379463       0.9212659033802814       0.9533009556906121
15                        25.39999999999999        0                        -0.008537468315713016    0.08719134708380658      0.4317787286500573       0.5181586793742134
15                        26.19408652036782        0                        -0.007315906052039108    0.05236892167983837      0.3523721744994266       0.4779021868795655
15                        27.153941546770028       0                        -0.00563773366454961     0.016329423780807283     0.26038707225586794      0.44979955839048813
15                        29.66976540967231        0                        -0.00965276795293523     -0.08168384175291984     0.016645618251994603     0.3394027675487945
15                        31.152970756124816       0                        -6.582757611078289E-4    -0.008874132870225749    -0.02569637203181183     0.2098586990946239
15                        32.78588116545647        0                        0.00980506714700656      0.06978389404148944      -0.04849300712180765     0.14488439383976334
15                        33.12057026761775        0                        0.006843409785077411     0.039461316774116496     -0.06624830698946443     0.10777317213062444
15                        36.72030088065915        0                        0.003265319982993989     -0.003859618047852468    -0.08423158544242282     0.08451713026432203
15                        36.79015878667279        0                        0.0032673646945145774    -0.0064503626709699015   -0.0810418401151734      0.0815160787918823
15                        36.83009330607996        0                        0.006912204994794625     -0.004844656746883796    -0.08148382778344021     0.082158074744198
15                        36.59465595955882        0                        0.0010997973227843464    -6.951052104209771E-4    -0.08940163720563771     0.08949791020719311
15                        38.11050199582782        0                        0.0057322995848322535    -0.0013010585910167105   -0.08479303726003035     0.08537288624383166
15                        45.473640433125496       0                        -0.001121990902407439    -1.943328929553082E-4    -0.07793771919749952     0.07799138317120713
